objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
1714,154,97,174.581,83.5385
4717,155,87,174.387,81.2192
614,155,96,174.905,79.7427
-6622,154,84,176.432,76.9419
96,156,95,177.637,78.8408
941,155,100,174.47,87.2462
7828,156,98,170.431,84.0861
6119,156,100,175.284,84.2543
2697,154,86,172.021,78.4104
-2122,156,93,174.678,81.033
5867,155,96,173.887,83.8148
-4391,156,83,175.965,80.2663
-2553,155,92,171.364,80.3253
5790,156,96,172.867,81.5526
370,155,85,175.626,77.7988
7877,155,94,172.215,81.2152
2615,151,84,170.665,75.5606
-6456,155,81,176.992,73.8348
4228,153,88,171.099,82.979
3761,155,98,173.219,84.4585
4447,154,95,171.653,85.048
945,155,91,174.687,80.6517
7259,153,93,170.758,81.5065
4521,153,90,173.11,83.5836
-3514,153,81,175.313,75.3634
2150,156,95,173.645,82.4685
-920,154,87,171.4,74.2663
6727,156,99,169.825,80.5425
3229,156,105,173.513,82.2503
3306,155,92,172.422,81.037
-1216,156,91,175.839,81.7608
5272,155,95,171.496,82.8348
6107,154,96,175.288,83.7628
-1591,156,89,173.007,77.7698
7180,153,98,172.635,85.0901
4570,155,88,173.41,82.7648
-3344,153,82,172.893,77.9339
3818,153,88,173.493,77.3473
4412,154,87,173.367,82.5095
5172,152,86,172.092,79.7477
137,155,80,174.179,78.9439
-711,156,88,178.107,80.8438
4104,153,98,172.371,85.1101
1425,155,87,175.664,81.0531
574,154,92,173.269,79.965
4364,150,79,168.612,76.1461
4849,153,90,169.108,79.8929
3195,154,87,173.709,81.2042
6442,154,89,174.348,81.6847
8228,156,95,170.378,84.4264
-72,153,96,173.159,81.9059
6976,149,89,167.424,74.7658
1355,155,92,176.289,84.4955
10504,155,97,165.46,83.9279
1204,153,77,175.004,74.1141
3020,154,81,172.837,76.4254
-3363,156,86,174.532,78.8599
1798,156,84,174.504,75.8238
-2441,153,91,170.164,77.5425
2195,153,81,174.127,81.3704
3257,154,91,176.574,80.8088
6121,156,93,174.178,82.0521
2319,156,98,175.391,81.4855
5375,155,95,173.726,81.7838
312,155,95,175.125,79.9129
5448,156,93,176.168,82.3133
7889,154,93,171.287,83.0511
9616,156,105,168.735,82.2603
8595,155,92,175.604,86.1552
2456,154,89,176.059,79.1562
-653,154,83,175.003,77.2573
10278,151,95,169.254,86.5646
632,153,93,173.419,81.1772
-6535,154,83,173.446,74.2362
7322,152,101,169.616,85.6797
3679,154,87,174.659,80.982
-1012,151,95,169.788,80.1602
1592,156,90,174.812,81.2623
6289,154,89,172.963,82.6507
9825,154,108,172.243,91.3584
905,155,84,174.146,77.3584
9856,154,86,169.652,77.6777
1265,155,85,173.606,77.5095
-8761,155,88,176.359,74.9129
7528,155,94,175.815,85.5495
809,151,87,172.028,79.7477
6724,155,99,173.684,81.2152
3727,155,93,172.695,81.3834
5859,155,89,172.652,77.972
5276,154,92,171.035,76.7898
-466,156,87,173.84,78.2442
1818,155,88,172.371,79.0591
-7708,154,94,171.853,78.2673
6219,156,93,175.76,85.4014
-2041,155,87,176.237,80.6476
2530,153,85,171.367,75.9419
3747,152,94,169.284,77.4655
8400,154,107,168.069,86.9239
4154,156,92,177.175,83.2132
5845,152,91,171.641,80.3734
3135,156,93,174.078,82.2693
11745,152,100,165.545,86.7648
8199,155,101,169.26,79.3273
2225,156,100,177.074,85.1451
5059,152,84,170.343,80.6837
13169,154,99,163.071,85.6967
3567,152,77,170.239,76.9099
7024,153,90,171.64,78.5686
12033,151,102,165.417,83.013
7486,150,84,171.271,77.956
-249,152,87,172.498,84.1221
4523,153,87,173.742,82.6657
-96,156,91,175.814,79.7648
1306,153,89,174.047,78.9499
4954,153,93,172.252,81.4424
-7,154,85,174.486,81.5345
-4015,153,79,176.4,79.2783
2869,153,90,170.447,80.7437
5322,156,92,172.55,81.7127
5802,154,95,168.437,80.5265
1501,155,98,173.253,81.5996
4279,154,83,173.066,76.5566
9393,155,101,172.825,84.953
3697,155,92,171.364,80.2883
4684,153,84,173.84,78.5506
3077,155,95,174.471,84.1431
6230,152,86,170.386,79.041
